,Domain,Verdict,Entropy,Vowel,Consonant,Length,VN,VowelConsRatio,EntropyLength,CountNum,ngram2ScoreLegit,ngram3ScoreLegit,ngram4ScoreLegit,ngram5ScoreLegit,ngramTotalScoreLegit,ngram2ScoreDGA,ngram3ScoreDGA,ngram4ScoreDGA,ngram5ScoreDGA,ngramTotalScoreDGA
2332,jhvugdmlxobhrxoiwmo.mx,dga,3.68188,5,14,19,1,0.35714,0.19378,0,0,0,0,0,0,0,0,0,0,0
1735,opendi.co,legit,2.58496,3,3,6,0,1.0,0.43083,0,1,0,0,0,1,2,0,0,0,2
168,moz.com,legit,1.58496,1,2,3,0,0.5,0.52832,0,0,0,0,0,0,0,0,0,0,0
880,colorado.edu,legit,2.40564,4,4,8,0,1.0,0.3007,0,4,0,0,0,4,3,0,0,0,3
2463,guitarforbeginners.com,legit,3.46132,7,11,18,0,0.63636,0.1923,0,3,0,0,0,3,8,2,0,0,10
1317,mxqpqrkmd.tv,dga,2.72548,0,9,9,1,0.0,0.30283,0,0,0,0,0,0,0,0,0,0,0
2392,xtrart.es,legit,1.9183,1,5,6,0,0.2,0.31972,0,1,0,0,0,1,2,1,0,0,3
3419,w25vo2e0101xahm6yvs.ddns.net,dga,4.08496,3,12,24,1,0.25,0.17021,8,3,1,0,0,4,4,3,3,2,12
4370,solefetishh.tumblr.com,legit,3.61437,5,12,18,0,0.41667,0.2008,0,3,0,0,0,3,4,0,0,0,4
173,sourceforge.net,legit,2.91398,5,6,11,0,0.83333,0.26491,0,3,0,0,0,3,3,0,0,0,3
2169,hpodlk.com,dga,2.58496,1,5,6,1,0.2,0.43083,0,0,0,0,0,0,0,0,0,0,0
4836,immutables.github.io,legit,3.49923,6,10,17,0,0.6,0.20584,0,4,0,0,0,4,4,0,0,0,4
2308,ozlqiwnansnan.com,dga,2.93121,4,9,13,1,0.44444,0.22548,0,0,0,0,0,0,2,2,4,3,11
279,sxsw.com,legit,1.5,0,4,4,0,0.0,0.375,0,0,0,0,0,0,0,0,0,0,0
2732,jfsla.org,legit,2.32193,1,4,5,0,0.25,0.46439,0,0,0,0,0,0,1,0,0,0,1
4807,dcecldfnfbcbdbnb.co.uk,dga,2.94504,2,16,19,1,0.125,0.155,0,3,1,0,0,4,3,1,0,0,4
